gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,1,-0.4246248501273714,1,0,0,1,1,0,1,0,1,0.8177744674128837,-0.1243268221591725,1,False,True,False,True,False,False,False,False,True,False
1,0,1,0,1.3273654847539706,1,1,0,1,0,0,1,0,1,0.8992135536683364,1.6136650184837316,1,False,True,False,True,False,False,True,False,False,False
1,0,1,1,0.0643026851883519,0,0,1,0,0,0,0,0,0,-1.1434116913919037,-0.5932429194410365,0,True,False,False,False,True,False,True,False,False,False
0,0,1,0,1.6125732136881423,1,0,0,0,0,0,0,0,0,-1.487450280266981,-0.3792669988673863,0,False,False,True,False,False,True,True,False,False,False
1,0,0,0,-1.1172721918246462,1,0,0,1,0,0,0,0,1,-0.4470244027993562,-0.8916400614616308,0,True,False,False,True,False,False,False,False,True,False
1,1,1,0,0.5532302205040753,1,1,0,0,1,0,1,1,1,1.131896657255345,1.0066131258789603,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,0,1,0.17789593254861,-0.9527445253780236,0,False,True,False,True,False,False,False,False,True,False
1,0,1,1,0.1865345690172827,1,0,1,0,1,1,0,0,1,-0.2010451218645185,-0.0353834291949502,0,True,False,False,False,True,False,False,False,False,True
0,0,0,0,0.0235587239120416,1,1,0,0,0,0,0,0,0,-1.2996417752288951,-0.6428985686380764,0,False,False,True,False,False,True,False,True,False,False
0,0,0,1,-0.6690886177852331,1,0,0,0,0,0,0,0,1,-1.5123806127941604,-0.8483816305085454,0,False,False,True,False,True,False,True,False,False,False
1,0,0,0,-1.076528230548336,1,1,0,0,0,0,0,0,1,0.3357880385540801,-0.8000936624533166,1,False,True,False,True,False,False,False,False,True,False
0,0,1,1,-0.791320501614164,1,0,0,0,0,0,0,1,0,-0.2941183632993219,-0.6833775185610297,1,True,False,False,True,False,False,False,False,True,False
1,0,1,0,0.5939741817803856,1,1,0,0,0,0,1,1,1,1.010569038956405,1.00577486969527,0,False,True,False,False,True,False,False,True,False,False
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,1,0.1562896443583875,-0.9767010047329704,1,False,True,False,True,False,False,False,False,True,False
1,0,1,1,0.2680224915699033,1,0,1,0,1,1,1,1,0,0.5053142997389005,0.3969141084835879,1,True,False,False,False,True,False,False,True,False,False
1,1,1,0,1.24587756220135,1,1,1,1,1,0,1,1,0,1.4526669357717217,2.0773751036774115,0,False,True,False,False,False,True,False,True,False,False
0,0,0,0,-0.9135523854430948,1,0,0,0,0,0,0,0,0,-1.527338812310468,-0.9353617392530716,0,False,False,True,True,False,False,False,False,False,True
1,0,0,0,-0.9135523854430948,1,1,0,0,0,0,0,0,1,-1.3561505289571687,-0.9074125133389668,0,False,False,True,True,False,False,False,False,True,False
0,0,0,0,-0.5876006952326126,1,1,0,0,1,1,0,1,1,1.005582972450969,-0.2664333046679822,0,False,True,False,True,False,False,True,False,False,False
1,0,0,0,-1.2802480369298874,1,0,1,0,0,0,0,0,1,-0.498547090022194,-0.9853923977954464,0,True,False,False,True,False,False,False,True,False,False
1,0,1,0,1.368109446030281,0,0,1,1,1,1,1,0,1,-0.2725120751090997,0.6643840092006505,0,True,False,False,False,False,True,True,False,False,False
1,1,0,0,1.490341329859212,1,0,0,0,0,0,0,0,0,-1.4791401694245876,-0.4089809746418922,0,False,False,True,False,False,True,False,True,False,False
1,0,0,0,-1.1987601143772668,1,0,0,0,0,1,1,1,1,0.1513035778529514,-0.9229423121104976,1,True,False,False,True,False,False,False,False,True,False
0,0,0,0,1.4495973685829016,1,0,0,0,0,0,0,0,0,-1.5024084797832884,-0.3713256244955807,0,False,False,True,False,False,True,False,True,False,False
1,0,1,1,-1.076528230548336,1,0,0,0,0,0,0,0,0,-1.5073945462887242,-0.9572887562685568,0,False,False,True,False,True,False,False,False,False,True
1,0,0,0,1.6125732136881423,1,0,0,0,0,0,0,0,0,-1.494098368940895,-0.3746565898570881,0,False,False,True,False,False,True,True,False,False,False
0,1,1,0,1.0421577558197987,1,1,0,0,0,1,1,1,1,1.183419344478183,1.5293761532763173,0,False,True,False,True,False,False,True,False,False,False
0,0,1,1,0.512486259227765,1,1,1,1,0,0,1,1,1,1.3413114504836532,1.0798502450856118,0,False,True,False,True,False,False,False,False,True,False
1,0,1,1,1.4495973685829016,1,1,1,1,1,0,1,1,1,1.509175689499995,2.287203862079119,0,False,True,False,False,False,True,False,False,True,False
1,0,1,1,-0.0171852373642686,1,1,1,0,0,0,1,1,1,1.155164967614046,0.4064878764762648,1,False,True,False,True,False,False,False,True,False,False
1,0,0,0,-1.2802480369298874,1,1,0,0,0,0,0,0,1,0.3357880385540801,-0.9743185924214288,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-0.9542963467194052,1,0,0,0,0,0,0,0,1,0.1895300877279602,-0.7435775481739668,0,False,True,False,True,False,False,False,False,True,False
0,0,1,1,-0.5468567339563023,0,0,0,0,0,0,0,0,1,-1.327896152093032,-0.8155352237318274,0,True,False,False,True,False,False,False,False,False,True
1,0,1,1,1.1236456783724194,1,0,1,1,1,1,0,0,1,0.0349620260594471,0.7257531855961037,0,True,False,False,False,True,False,True,False,False,False
0,0,0,0,-0.1394171211931994,1,0,0,0,0,0,1,0,1,0.4687498120323708,0.0444935613614608,1,False,True,False,True,False,False,False,False,True,False
1,0,1,1,1.6125732136881423,1,1,1,1,1,1,1,1,1,1.6371513964728497,2.728700158404999,0,False,True,False,False,False,True,False,True,False,False
1,1,1,0,0.4309983366751445,1,1,0,1,0,1,1,0,1,0.9806526399237896,0.7367166941038463,0,False,True,False,True,False,False,False,False,True,False
1,0,1,1,-1.2802480369298874,1,0,0,0,0,0,0,0,1,0.1695858217062168,-0.9765245297469304,1,False,True,False,True,False,False,False,False,False,True
0,0,1,1,-0.7098325790615434,1,0,0,1,1,1,1,1,0,0.3889727479453962,-0.4975272988875243,0,True,False,False,True,False,False,True,False,False,False
1,0,0,0,-1.1987601143772668,1,0,0,0,0,0,1,1,0,0.8609870437933281,-0.9025153324763532,0,False,True,False,True,False,False,False,False,False,True
1,0,1,1,0.6754621043330061,1,1,0,0,1,0,1,1,1,1.1634750784564392,1.1423003307705606,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-0.8320644628904743,1,1,0,0,1,0,1,0,1,0.8227605339183194,-0.5565802410912007,0,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,1,1,0.5335686766030371,-0.971693527004082,1,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-0.4653688114036817,1,0,0,0,0,0,0,0,0,-1.472492080750673,-0.8296311632417823,0,False,False,True,True,False,False,False,True,False,False
0,0,1,0,-0.5876006952326126,1,0,1,0,0,0,0,0,0,0.3324639942171226,-0.3729138993699419,0,False,True,False,True,False,False,False,False,True,False
0,1,1,1,1.6125732136881423,1,1,1,1,1,1,1,1,0,0.9191578196900804,1.833994038554826,1,True,False,False,False,False,True,False,True,False,False
1,0,0,0,1.6125732136881423,1,0,0,0,0,0,0,0,0,-1.5123806127941604,-0.3831715079335241,0,False,False,True,False,False,True,True,False,False,False
0,0,0,0,0.5532302205040753,1,0,0,0,1,0,0,0,1,0.3324639942171226,0.5581019488579861,0,False,True,False,True,False,False,False,True,False,False
0,1,0,0,-1.0357842692720256,1,0,1,0,0,0,0,0,0,0.3873107257769176,-0.7851815261329261,1,False,True,False,True,False,False,True,False,False,False
0,0,1,1,1.6125732136881423,1,1,1,0,1,1,1,1,0,0.6615443835758922,1.5929512669972716,0,True,False,False,False,False,True,False,True,False,False
1,0,0,0,0.2680224915699033,1,0,0,0,0,0,0,0,0,-1.4924363467724169,-0.658318070543332,0,False,False,True,False,True,False,False,False,False,True
0,1,1,0,1.6125732136881423,1,1,1,1,1,1,0,1,0,0.453791612516063,1.4995739400087913,0,True,False,False,False,False,True,True,False,False,False
1,0,0,0,-1.2802480369298874,1,1,0,0,0,0,0,0,0,-0.4669686688210999,-0.9849732697036012,0,True,False,False,True,False,False,False,False,False,True
1,0,0,1,1.6125732136881423,1,0,0,0,0,0,0,0,0,-1.4924363467724169,-0.3325011275667535,0,False,False,True,False,False,True,False,True,False,False
1,0,1,0,-1.076528230548336,1,1,0,0,0,0,1,0,1,0.6000495633421824,-0.8043070027450245,1,False,True,False,True,False,False,False,False,True,False
0,0,0,1,0.4717422979514547,1,0,0,0,0,0,0,0,0,-1.4924363467724169,-0.6243686951038633,0,False,False,True,False,False,True,False,False,False,True
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,-1.4575338812343652,-0.9981206561635904,1,False,False,True,True,False,False,False,False,False,True
0,0,1,0,-0.5876006952326126,1,0,0,0,0,0,0,0,0,-1.485788258098502,-0.8439035777377772,0,False,False,True,False,False,True,False,False,False,True
1,0,1,1,0.3495104141225239,1,1,0,1,1,0,1,0,0,0.1230492009888149,0.2455868079541817,0,True,False,False,False,True,False,True,False,False,False
0,0,1,1,0.6347181430566958,1,0,0,0,0,0,0,0,0,-1.4824642137615447,-0.5541537100331491,0,False,False,True,False,False,True,True,False,False,False
0,0,1,1,1.6125732136881423,1,1,1,1,1,1,1,1,0,1.7518309260978755,2.8177759076087514,0,False,True,False,False,False,True,False,True,False,False
0,0,1,1,1.2051336009250395,1,1,0,0,0,0,1,1,1,0.1878680655594816,0.8899411007331837,0,True,False,False,True,False,False,False,True,False,False
0,0,1,1,-1.2802480369298874,1,0,0,0,0,0,0,0,0,-1.5073945462887242,-0.998782437361241,0,False,False,True,True,False,False,False,False,True,False
0,0,0,0,-0.8728084241667845,1,1,1,0,0,0,0,0,1,0.4720738563693278,-0.5973680222397244,0,False,True,False,True,False,False,True,False,False,False
1,0,0,0,-0.8320644628904743,1,0,1,0,1,0,0,0,0,0.5618230534671742,-0.6285599760223163,1,False,True,False,True,False,False,True,False,False,False
0,0,0,0,0.1050466464646622,1,1,0,0,0,0,1,0,1,0.7197151594726443,0.3290374169779053,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-0.6283446565089229,1,0,0,0,0,0,0,0,1,0.1995022207388319,-0.4748502631813684,0,False,True,False,True,False,False,False,False,True,False
1,0,1,1,0.0643026851883519,1,0,0,0,0,0,0,1,1,0.4704118342008493,0.1605479240560971,0,False,True,False,False,True,False,True,False,False,False
0,0,1,1,1.082901717096109,1,1,1,1,1,1,1,1,0,0.8476908664454988,1.2841862195468203,0,True,False,False,False,False,True,False,True,False,False
0,0,1,1,0.3495104141225239,1,0,0,1,0,1,0,1,1,0.0565683142496695,0.1964605837152623,1,True,False,False,False,True,False,True,False,False,False
1,0,1,1,0.1050466464646622,1,1,0,0,0,0,0,0,0,-1.3079518860712882,-0.6503325774250165,0,False,False,True,False,False,True,True,False,False,False
0,0,1,1,1.6125732136881423,1,1,1,1,1,1,1,0,0,0.5119623884128152,1.5136698795187462,0,True,False,False,False,False,True,True,False,False,False
1,1,0,0,-0.3431369275747509,1,1,0,1,0,0,0,0,0,-0.3323448731743307,-0.4376581598734123,0,True,False,False,True,False,False,False,True,False,False
0,0,1,0,0.4309983366751445,1,1,0,0,0,1,1,0,1,0.0017215826898744,0.2756978524472779,0,True,False,False,False,True,False,True,False,False,False
0,0,0,0,-0.9135523854430948,1,1,0,1,1,0,0,1,1,0.9989348837770544,-0.5867133449575519,1,False,True,False,True,False,False,False,False,True,False
1,0,1,1,-0.1801610824695097,0,0,0,1,1,1,1,1,1,-0.1594945676525527,-0.2652641578854664,0,True,False,False,False,True,False,False,True,False,False
0,1,0,0,0.4309983366751445,1,1,0,1,0,0,1,0,1,0.8460288442770204,0.6862448480963709,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,1.6125732136881423,1,0,0,0,0,0,0,0,0,-1.4808021915930665,-0.316066894491767,0,False,False,True,False,False,True,False,True,False,False
1,0,1,1,-0.3431369275747509,1,0,1,0,1,0,0,0,1,-0.2841462302884502,-0.3657666624353169,0,True,False,False,False,True,False,False,True,False,False
1,0,1,0,-0.9542963467194052,1,0,0,0,1,0,1,1,1,0.1745718882116524,-0.7583573282548273,0,True,False,False,True,False,False,False,False,False,True
0,0,1,1,-1.076528230548336,1,1,0,0,0,0,0,0,1,-0.5268014668863306,-0.8868090587187824,0,True,False,False,True,False,False,False,True,False,False
1,0,0,0,0.5532302205040753,0,0,1,0,0,0,0,0,1,-1.1317775362125533,-0.3503030417835511,0,True,False,False,False,True,False,True,False,False,False
1,0,0,0,1.0014137945434884,1,0,0,0,0,0,0,0,0,-1.4675060142452372,-0.5107629228405336,0,False,False,True,False,False,True,True,False,False,False
0,1,1,0,1.4495973685829016,1,1,0,1,0,0,1,1,1,1.1767712558042684,2.0154985616970933,1,False,True,False,True,False,False,False,False,True,False
0,1,1,1,-0.3431369275747509,1,0,0,0,1,0,1,1,1,1.055443637505328,-0.0087577656761466,0,False,True,False,False,False,True,False,False,True,False
1,0,1,1,-0.2616490050221303,1,1,0,0,0,0,1,0,1,0.6299659623747981,-0.0938407683207412,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,1,0,-0.3074145406471512,-0.9828555698711195,0,True,False,False,True,False,False,False,False,False,True
1,0,1,1,1.6125732136881423,1,1,1,0,1,0,1,1,1,1.354607627831482,2.320182625095367,0,False,True,False,False,False,True,True,False,False,False
0,1,1,0,0.0235587239120416,1,1,0,1,0,0,0,0,1,0.525258565760644,0.1646509674815301,1,False,True,False,True,False,False,True,False,False,False
1,0,0,0,0.2680224915699033,1,0,0,0,0,1,0,0,1,-0.498547090022194,-0.1377168617249669,0,True,False,False,False,False,True,True,False,False,False
1,0,0,0,-0.9542963467194052,1,1,0,0,0,0,0,0,1,0.3673664597551738,-0.6876570369725026,0,False,True,False,True,False,False,False,False,True,False
0,0,1,1,0.3495104141225239,0,0,1,0,1,0,0,0,0,-0.9772094745440404,-0.3842303578497648,0,True,False,False,False,True,False,False,True,False,False
1,0,0,0,1.5718292524118322,1,1,1,0,0,1,0,1,0,1.0920081252118583,1.9432320549136628,0,False,True,False,False,True,False,False,True,False,False
0,0,1,1,-0.4246248501273714,1,0,0,0,0,0,0,0,0,-1.46418196990828,-0.8077923837193169,0,False,False,True,False,True,False,True,False,False,False
1,0,1,1,1.6125732136881423,1,1,1,1,1,1,1,0,0,0.5817673194889176,1.5582077541206223,0,True,False,False,False,False,True,True,False,False,False
0,1,0,0,-0.791320501614164,1,0,0,0,1,0,1,1,1,1.0654157705161995,-0.4622543610527546,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,1.4495973685829016,1,1,0,0,0,0,0,0,0,-1.3062898639028098,-0.2036082096376982,0,False,False,True,False,False,True,True,False,False,False
1,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,-0.6713973955439717,-0.9876865726139682,0,True,False,False,True,False,False,False,False,False,True
0,0,1,0,1.5310852911355222,1,0,0,0,0,0,0,0,0,-1.495760391109374,-0.3907378729599944,0,False,False,True,False,False,True,True,False,False,False
0,0,1,0,1.4495973685829016,1,1,1,0,0,1,0,0,0,-0.2176653435493049,0.7466654714418582,0,True,False,False,False,True,False,True,False,False,False
1,0,1,1,0.1865345690172827,0,0,1,1,1,0,0,0,0,-0.8176553463700914,-0.3681711341201136,1,True,False,False,True,False,False,True,False,False,False
0,0,1,1,0.3495104141225239,1,0,0,0,0,0,0,0,0,-1.499084435446331,-0.652538514750518,0,False,False,True,False,False,True,True,False,False,False
1,1,0,0,-1.1580161531009563,1,0,1,0,0,0,0,0,0,0.3507462380703874,-0.8867428805990173,0,False,True,False,True,False,False,False,False,True,False
1,0,0,0,-1.1580161531009563,1,0,0,0,0,0,1,1,1,0.7861960462117896,-0.8438373996180122,1,False,True,False,True,False,False,False,False,True,False
1,0,0,0,1.6125732136881423,1,1,0,1,1,0,1,1,1,1.2914507854292945,2.3610145249904004,0,False,True,False,False,False,True,False,False,True,False
1,0,0,1,-0.3838808888510611,1,0,0,0,0,0,0,0,0,-1.495760391109374,-0.8020128279265029,0,False,False,True,False,True,False,False,False,False,True
0,0,0,0,-0.7098325790615434,1,1,0,0,0,0,0,0,0,-1.3212480634191175,-0.8445212401889177,0,False,False,True,False,False,True,True,False,False,False
1,0,0,0,-0.791320501614164,0,0,1,0,0,1,1,0,1,-0.6398189743428778,-0.7439746168925572,1,True,False,False,True,False,False,False,True,False,False
0,0,0,0,-1.1172721918246462,1,0,0,0,0,0,0,0,1,-1.472492080750673,-0.9613476809474796,0,False,False,True,True,False,False,False,False,False,True
0,0,1,0,0.5532302205040753,1,0,1,1,0,1,0,1,0,0.1928541320649173,0.4181352255549129,0,True,False,False,False,True,False,False,False,False,True
0,0,0,0,-0.8320644628904743,0,0,1,0,0,1,0,0,1,-1.037042272609271,-0.8152484518795121,0,True,False,False,False,True,False,False,False,False,True
1,0,0,0,0.4717422979514547,1,0,0,0,0,0,0,0,0,-1.5057325241202455,-0.6387514064661334,0,False,False,True,False,True,False,False,True,False,False
0,0,0,0,1.4495973685829016,0,0,0,1,0,1,0,1,0,-0.6597632403646212,0.3538542118897977,0,True,False,False,True,False,False,False,False,True,False
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,1,-1.4924363467724169,-0.9985839030019455,1,False,False,True,True,False,False,False,False,False,True
1,0,1,0,-0.0986731599168891,1,0,0,0,0,0,0,0,0,-1.495760391109374,-0.7529527818073485,0,False,False,True,False,True,False,False,True,False,False
1,0,1,1,0.3495104141225239,1,1,0,0,1,1,1,1,1,1.2565483198912426,0.851513672522947,1,False,True,False,False,True,False,False,False,True,False
1,0,1,0,-0.7505765403378537,1,1,0,0,0,0,0,1,1,0.6765025830921999,-0.5047627733151694,1,False,True,False,True,False,False,False,False,True,False
0,0,1,0,1.082901717096109,1,1,1,1,0,0,1,0,1,0.9956108394400972,1.462249480461305,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,0.960669833267178,1,0,0,0,0,0,0,0,1,-1.504070501951767,-0.5306384181433026,0,False,False,True,False,False,True,True,False,False,False
0,1,0,0,-0.8728084241667845,1,1,0,0,0,0,0,1,1,0.6648684279128493,-0.6072726808312263,1,False,True,False,True,False,False,False,True,False,False
1,0,0,0,0.8791819107145575,1,1,1,1,0,1,1,1,1,1.436046714086935,1.5341630372726551,0,False,True,False,False,False,True,False,True,False,False
0,0,0,0,0.1457906077409725,1,1,0,0,1,0,0,0,0,-0.299104429804758,-0.1507980700651911,0,True,False,False,False,True,False,False,False,True,False
1,0,0,0,-0.6690886177852331,1,0,0,0,0,0,0,0,0,-1.4974224132778524,-0.881911877856169,0,False,False,True,False,False,True,False,False,False,True
0,0,1,1,-0.0986731599168891,1,0,0,1,1,1,1,1,0,0.5319066544345585,0.0379419275047213,0,True,False,False,False,False,True,True,False,False,False
1,0,0,0,0.5532302205040753,1,1,0,0,0,0,0,0,0,0.2659831074779772,0.4262310155395036,0,False,True,False,True,False,False,True,False,False,False
1,0,1,1,-0.3023929662984406,1,0,1,0,0,1,0,0,0,-0.348965094859117,-0.4352316288153606,0,True,False,False,True,False,False,False,False,True,False
0,1,0,0,-0.9950403079957154,1,1,0,0,0,0,0,0,1,0.3640424154182167,-0.7398936328403793,1,False,True,False,True,False,False,False,False,True,False
0,0,1,1,1.0014137945434884,1,1,1,1,0,1,0,0,0,0.0133557378692252,0.6196696596127342,0,True,False,False,True,False,False,True,False,False,False
0,1,1,0,1.6125732136881423,1,1,1,1,1,1,1,1,1,1.726900593570696,2.644367174451074,0,False,True,False,False,False,True,False,True,False,False
0,1,0,0,0.1050466464646622,1,0,0,0,0,0,0,0,0,0.1911921098964387,0.0598689445202066,0,False,True,False,True,False,False,False,False,True,False
0,0,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,1,-0.6448050408483137,-0.9873336226418878,1,True,False,False,True,False,False,False,False,False,True
1,0,1,0,-1.076528230548336,1,1,0,0,0,0,0,0,1,0.3557323045758235,-0.8141234238435063,1,False,True,False,True,False,False,False,False,True,False
0,0,1,1,0.512486259227765,1,1,0,0,0,0,0,0,1,-1.2929936865549807,-0.4706148635164054,0,False,False,True,False,True,False,False,True,False,False
1,1,0,0,-1.2802480369298874,1,0,0,0,0,0,0,0,0,-0.6514531295222281,-0.987421860134908,0,True,False,False,True,False,False,False,False,True,False
0,0,0,0,1.6125732136881423,1,1,1,0,0,1,0,0,1,0.6615443835758922,1.7214471162077367,0,False,True,False,False,False,True,True,False,False,False
0,0,1,1,1.6125732136881423,0,0,1,1,1,1,0,1,0,-0.3040904963101938,0.7044658904050137,0,True,False,False,False,False,True,False,True,False,False
1,0,0,0,-0.9542963467194052,0,0,0,0,0,0,1,1,1,-0.6448050408483137,-0.8225942231734323,1,True,False,False,True,False,False,False,False,True,False
0,1,0,0,0.6754621043330061,1,0,0,1,1,0,0,1,1,0.8327326669291911,0.8840953668206046,0,False,True,False,False,True,False,True,False,False,False
0,0,0,0,-0.3838808888510611,1,0,0,1,1,1,0,0,0,0.6116837185215331,-0.110738248234083,0,False,True,False,True,False,False,True,False,False,False
1,0,1,0,0.1050466464646622,1,1,0,0,0,1,1,0,1,0.8875793984889861,0.4204735191199444,0,False,True,False,True,False,False,False,True,False,False
1,0,0,0,-1.1172721918246462,0,0,1,1,1,1,0,0,1,-0.7162719940928949,-0.910743478700474,1,True,False,False,True,False,False,False,False,False,True
1,0,1,1,-0.791320501614164,1,0,1,0,0,0,0,1,0,0.6399380953856697,-0.524130903033073,1,False,True,False,True,False,False,False,False,True,False
0,0,1,0,0.512486259227765,1,0,0,0,1,0,0,0,1,-0.4835888905058862,-0.0272435204638494,0,True,False,False,True,False,False,False,True,False,False
1,0,1,0,-0.8320644628904743,1,0,0,0,1,1,1,1,1,0.3108577060269006,-0.6802671469320725,0,True,False,False,True,False,False,False,False,True,False
0,0,0,0,1.6125732136881423,1,0,0,0,0,0,0,0,1,-1.4508857925604508,-0.3811420455940627,0,False,False,True,False,False,True,True,False,False,False
0,0,1,1,-1.2802480369298874,1,0,0,0,0,0,0,0,1,-1.509056568457203,-0.998804496734496,0,False,False,True,True,False,False,False,False,False,True
0,0,0,0,0.1865345690172827,1,1,1,1,1,1,1,0,1,0.4687498120323708,0.3060294906729242,0,True,False,False,True,False,False,False,True,False,False
1,0,0,0,0.512486259227765,1,0,0,0,0,0,0,0,0,-1.527338812310468,-0.6247216450759435,0,False,False,True,False,True,False,True,False,False,False
1,0,1,0,-0.9542963467194052,1,0,0,1,1,1,1,0,1,0.9989348837770544,-0.6144419771391063,1,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-0.7098325790615434,1,0,0,0,1,1,1,1,1,1.2149977656792768,-0.321780272164816,1,False,True,False,True,False,False,False,False,True,False
0,0,0,0,-1.2802480369298874,1,1,0,0,0,0,1,1,1,0.9906247729346612,-0.9656271993589528,1,False,True,False,True,False,False,False,False,True,False
0,1,1,1,-0.4246248501273714,1,1,0,0,0,0,1,0,0,0.6831506717661141,-0.1419302020166749,0,False,True,False,True,False,False,True,False,False,False
1,0,0,0,-1.2395040756535771,1,0,0,0,0,0,0,1,1,0.5368927209399946,-0.9318542989055238,1,False,True,False,True,False,False,False,False,True,False
1,1,0,0,1.1236456783724194,1,1,1,1,0,0,0,1,1,0.231080641939926,0.9226330918971168,0,True,False,False,False,True,False,False,False,True,False
0,0,0,0,-0.2616490050221303,1,0,0,0,0,0,0,0,1,0.1413314448420797,-0.206321512548065,0,False,True,False,True,False,False,False,True,False,False
0,0,0,1,-0.7098325790615434,1,0,0,0,0,0,0,0,0,-1.5007464576148095,-0.8879782055012982,0,False,False,True,False,True,False,False,False,False,True
0,0,0,0,0.1050466464646622,1,1,0,0,0,1,0,0,0,0.5069763219073791,0.2437999987205256,0,False,True,False,True,False,False,False,True,False,False
0,1,0,0,0.3902543753988342,1,1,0,1,1,0,1,1,1,1.328015273135824,0.9000884124304909,1,False,True,False,True,False,False,True,False,False,False
1,0,1,0,0.4309983366751445,1,0,0,0,0,0,1,0,1,-0.2808221859514929,0.047581873617163,0,True,False,False,False,True,False,False,False,False,True
